ablation,seed,episode,reward,success,stage,loss,duration_sec,cumulative_goals
No_SDM,123,36,-151.9946,0,1,1.0741,65.27,1
No_SDM,123,37,-151.9946,0,1,1.4198,65.23,1
No_SDM,123,38,-151.9946,0,1,0.5600,64.26,1
No_SDM,123,39,-151.9946,0,1,0.9475,65.27,1
No_SDM,123,40,-150.5154,0,1,0.8379,65.36,1
No_SDM,123,41,-151.9946,0,1,0.6757,64.69,1
No_SDM,123,42,-151.5005,0,1,0.8134,65.29,1
No_SDM,123,43,-151.5005,0,1,0.6133,65.39,1
No_SDM,123,44,-151.9946,0,1,0.3131,65.30,1
No_SDM,123,45,-144.4875,0,1,1.7667,65.12,1
No_SDM,123,46,-148.5017,0,1,1.2065,65.30,1
No_SDM,123,47,-151.9946,0,1,1.0960,65.51,1
No_SDM,123,48,-151.9946,0,1,0.9806,64.52,1
No_SDM,123,49,-151.9946,0,1,1.5251,65.45,1
No_SDM,123,50,-144.4670,0,2,0.2562,65.33,1
No_SDM,123,51,-151.4979,0,2,0.6680,64.56,1
No_SDM,123,52,-151.9946,0,2,0.7866,65.11,1
No_SDM,123,53,-151.9946,0,2,0.3431,65.36,1
No_SDM,123,54,-151.9946,0,2,1.1267,65.04,1
No_SDM,123,55,-149.4894,0,2,0.8509,64.52,1
No_SDM,123,56,-151.0132,0,2,0.7868,65.26,1
No_SDM,123,57,-151.9946,0,2,0.8739,65.32,1
No_SDM,123,58,-151.9946,0,2,1.3995,64.16,1
No_SDM,123,59,-151.9946,0,2,0.7328,65.23,1
No_SDM,123,60,-144.4472,0,2,0.8440,65.19,1
No_SDM,123,61,-148.5049,0,2,1.1238,64.28,1
No_SDM,123,62,-151.9946,0,2,1.6332,65.12,1
No_SDM,123,63,-151.5029,0,2,1.0575,65.14,1
No_SDM,123,64,-151.5005,0,2,0.7418,64.38,1
No_SDM,123,65,-151.5029,0,2,0.4531,65.12,1
No_SDM,123,66,-148.5029,0,2,0.5425,65.30,1
No_SDM,123,67,-146.9815,0,2,1.2834,64.60,1
No_SDM,123,68,-151.9946,0,2,0.6497,64.93,1
No_SDM,123,69,-151.4979,0,2,0.3210,65.45,1
No_SDM,123,70,-151.9946,0,2,0.8845,65.30,1
No_SDM,123,71,-151.9946,0,2,0.4430,64.41,1
No_SDM,123,72,-151.9946,0,2,0.6333,65.29,1
No_SDM,123,73,-151.9946,0,2,1.1139,65.12,1
No_SDM,123,74,-151.9946,0,2,0.7477,64.40,1
No_SDM,123,75,-151.9946,0,3,0.5227,65.34,1
No_SDM,123,76,-151.9946,0,3,0.6714,65.37,1
No_SDM,123,77,-151.5023,0,3,1.2913,64.95,1
No_SDM,123,78,-238.6917,0,3,0.4725,64.55,1
No_SDM,123,79,-238.6917,0,3,0.1635,65.36,1
No_SDM,123,80,-151.4946,0,3,0.4830,65.33,1
No_SDM,123,81,-238.6917,0,3,0.9739,64.26,1
No_SDM,123,82,-238.6917,0,3,1.0975,65.09,1
No_SDM,123,83,-238.6917,0,3,3.7864,65.29,1
No_SDM,123,84,-238.6917,0,3,0.3073,64.46,1
No_SDM,123,85,-238.6917,0,3,0.6864,65.10,1
No_SDM,123,86,-147.4868,0,3,0.4913,65.39,1
No_SDM,123,87,-151.9946,0,3,1.2121,64.96,1
No_SDM,123,88,60.9994,1,3,0.7645,2.49,2
No_SDM,123,89,-238.6917,0,3,0.3113,64.52,2
No_SDM,123,90,-149.4894,0,3,0.8268,65.27,2
No_SDM,123,91,-151.9946,0,3,0.8829,65.37,2
No_SDM,123,92,-238.6917,0,3,0.3188,64.96,2
No_SDM,123,93,-238.6917,0,3,1.0312,64.66,2
No_SDM,123,94,-148.4974,0,3,1.1339,65.44,2
No_SDM,123,95,-151.9946,0,3,0.8803,65.33,2
No_SDM,123,96,-238.6917,0,3,0.3231,64.48,2
No_SDM,123,97,-238.2130,0,3,1.4215,65.44,2
No_SDM,123,98,-238.6917,0,3,0.7918,65.50,2
No_SDM,123,99,-151.5029,0,3,0.9325,64.84,2
